product,price,link
"HP 15s, Ryzen 5-5500U, 16GB RAM/512GB SSD 15.6-inches(39.6 cm) FHD, Micro-Edge, Anti-Glare Laptop/Alexa Built-in/Windows 11 /AMD Radeon Graphics/Dual Speakers/MS Office 2021/1.69 Kg, 15s-eq2182AU","42,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjE2MDU3NTIyMjM4MTYzOjE3MTgxOTE2NDY6c3BfYXRmOjIwMDgwMjMxMjc3OTk4OjowOjo&url=%2FHP-15-6-inches-Micro-Edge-Anti-Glare-15s-eq2182AU%2Fdp%2FB0B4N77Y34%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3QDIM6E397P10%26dib%3DeyJ2IjoiMSJ9.VE19NB4XGbKO38w-XItHphoQFK057PMSE9YNujNUKfMYe5BCZGqe5f2d3rqHNOyDHkcpeWVwFg_f_NlXk05eW6boR2811IGRgzQg0vRHABe4s2o3YAfGdZrfTf44ER3gcXYJsilxwhRA3DxDtrSVbeW1t2AZofSDv7bbKvCVjwEZg_WqWtnFkTp_UDtxD0Leh4bU5UBBZ5vduc72orC6JCpEHmhXN004_ADpw-UZNWA.gEE6TP47mqtsR8YQk_UK2t-RJ5WIoE_uLYwifL0H7aI%26dib_tag%3Dse%26keywords%3Dlaptops%2Bunder%2B50000%26qid%3D1718191646%26sprefix%3Dlaptops%2Bunder%2B50000%252Caps%252C230%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"HP Laptop 15s, AMD Ryzen 7 5700U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, Backlit KB, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), ey2001AU","48,490",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjE2MDU3NTIyMjM4MTYzOjE3MTgxOTE2NDY6c3BfYXRmOjMwMDAyOTczMzcyNTgzMjo6MDo6&url=%2FHP-15-6-inch-Graphics-Speakers-ey2001AU%2Fdp%2FB0C9DDN2JB%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3QDIM6E397P10%26dib%3DeyJ2IjoiMSJ9.VE19NB4XGbKO38w-XItHphoQFK057PMSE9YNujNUKfMYe5BCZGqe5f2d3rqHNOyDHkcpeWVwFg_f_NlXk05eW6boR2811IGRgzQg0vRHABe4s2o3YAfGdZrfTf44ER3gcXYJsilxwhRA3DxDtrSVbeW1t2AZofSDv7bbKvCVjwEZg_WqWtnFkTp_UDtxD0Leh4bU5UBBZ5vduc72orC6JCpEHmhXN004_ADpw-UZNWA.gEE6TP47mqtsR8YQk_UK2t-RJ5WIoE_uLYwifL0H7aI%26dib_tag%3Dse%26keywords%3Dlaptops%2Bunder%2B50000%26qid%3D1718191646%26sprefix%3Dlaptops%2Bunder%2B50000%252Caps%252C230%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"ASUS Vivobook 16X (2022) Thin and Light Laptop,AMD Ryzen 5 5600H, 16.0-inch (40.64 cms) FHD+ 16:10, (8GB RAM/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.80 kg), M1603QA-MB501WS","46,990",https://www.amazon.in/ASUS-Vivobook-16-0-inch-40-64-M1603QA-MB501WS/dp/B0B8ZT96HS/ref=sr_1_3?crid=3QDIM6E397P10&dib=eyJ2IjoiMSJ9.VE19NB4XGbKO38w-XItHphoQFK057PMSE9YNujNUKfMYe5BCZGqe5f2d3rqHNOyDHkcpeWVwFg_f_NlXk05eW6boR2811IGRgzQg0vRHABe4s2o3YAfGdZrfTf44ER3gcXYJsilxwhRA3DxDtrSVbeW1t2AZofSDv7bbKvCVjwEZg_WqWtnFkTp_UDtxD0Leh4bU5UBBZ5vduc72orC6JCpEHmhXN004_ADpw-UZNWA.gEE6TP47mqtsR8YQk_UK2t-RJ5WIoE_uLYwifL0H7aI&dib_tag=se&keywords=laptops+under+50000&qid=1718191646&sprefix=laptops+under+50000%2Caps%2C230&sr=8-3
"HP 15s 12th Gen Intel Core i5, 15/6inch (39.6 cm), 8GB RAM, 512GB SSD, Intel Iris Xe Graphics, Backlit Kb, (Win 11 Home, Natural Silver, 1.69kg), fq5202TU / fq5329TU","49,300",https://www.amazon.in/HP-Graphics-Backlit-fq5202TU-fq5329TU/dp/B0CJM5Z6FY/ref=sr_1_4?crid=3QDIM6E397P10&dib=eyJ2IjoiMSJ9.VE19NB4XGbKO38w-XItHphoQFK057PMSE9YNujNUKfMYe5BCZGqe5f2d3rqHNOyDHkcpeWVwFg_f_NlXk05eW6boR2811IGRgzQg0vRHABe4s2o3YAfGdZrfTf44ER3gcXYJsilxwhRA3DxDtrSVbeW1t2AZofSDv7bbKvCVjwEZg_WqWtnFkTp_UDtxD0Leh4bU5UBBZ5vduc72orC6JCpEHmhXN004_ADpw-UZNWA.gEE6TP47mqtsR8YQk_UK2t-RJ5WIoE_uLYwifL0H7aI&dib_tag=se&keywords=laptops+under+50000&qid=1718191646&sprefix=laptops+under+50000%2Caps%2C230&sr=8-4
"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4/512GB SSD/Intel UHD Graphics/15.6"" (39.62cm) FHD Display/Win 11 + MSO'21/15 Month McAfee/Carbon Black/Spill-Resistant KB/1.69kg","49,990",https://www.amazon.in/Dell-Vostro-Metal-i5-1235U-35-56Cms/dp/B0BQJ7WR2R/ref=sr_1_5?crid=3QDIM6E397P10&dib=eyJ2IjoiMSJ9.VE19NB4XGbKO38w-XItHphoQFK057PMSE9YNujNUKfMYe5BCZGqe5f2d3rqHNOyDHkcpeWVwFg_f_NlXk05eW6boR2811IGRgzQg0vRHABe4s2o3YAfGdZrfTf44ER3gcXYJsilxwhRA3DxDtrSVbeW1t2AZofSDv7bbKvCVjwEZg_WqWtnFkTp_UDtxD0Leh4bU5UBBZ5vduc72orC6JCpEHmhXN004_ADpw-UZNWA.gEE6TP47mqtsR8YQk_UK2t-RJ5WIoE_uLYwifL0H7aI&dib_tag=se&keywords=laptops+under+50000&qid=1718191646&sprefix=laptops+under+50000%2Caps%2C230&sr=8-5
"HP 15s, Ryzen 5-5500U, 16GB RAM/512GB SSD 15.6-inches(39.6 cm) FHD, Micro-Edge, Anti-Glare Laptop/Alexa Built-in/Windows 11 /AMD Radeon Graphics/Dual Speakers/MS Office 2021/1.69 Kg, 15s-eq2182AU","42,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTg4MDk3NTk4OTAzMTYzOjE3MTgxOTE2NDY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDgwMjMxMjc3OTk4OjowOjo&url=%2FHP-15-6-inches-Micro-Edge-Anti-Glare-15s-eq2182AU%2Fdp%2FB0B4N77Y34%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%253Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%26crid%3D3QDIM6E397P10%26cv_ct_cx%3Dlaptops%2Bunder%2B50000%26dib%3DeyJ2IjoiMSJ9.gqc4L1rAevfMXdncBT8GzQ7qGx3ccONqeeRq0Z_1-4aA0b9LTRj1MeFHHNXiF1UswUD_4NvOixa_D1o5GrGMXQ.YSGIirx-Doeua1wbDt86ofsTfLXYIpngnpRlOQ0jNs0%26dib_tag%3Dse%26keywords%3Dlaptops%2Bunder%2B50000%26pd_rd_i%3DB0B4N77Y34%26pd_rd_r%3D8b7f672e-69f0-45d7-86de-89b047ce65ea%26pd_rd_w%3Da3BKT%26pd_rd_wg%3D9ufCM%26pf_rd_p%3Dee635213-fee1-408a-be4a-3523feeb9a42%26pf_rd_r%3DQ790SSQ0FHNVX1HZHTAK%26qid%3D1718191646%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptops%2Bunder%2B50000%252Caps%252C230%26sr%3D1-1-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"HP Laptop 15s, AMD Ryzen 7 5700U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, Backlit KB, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), ey2001AU","48,490",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTg4MDk3NTk4OTAzMTYzOjE3MTgxOTE2NDY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAyOTczMzcyNTgzMjo6MTo6&url=%2FHP-15-6-inch-Graphics-Speakers-ey2001AU%2Fdp%2FB0C9DDN2JB%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%253Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%26crid%3D3QDIM6E397P10%26cv_ct_cx%3Dlaptops%2Bunder%2B50000%26dib%3DeyJ2IjoiMSJ9.gqc4L1rAevfMXdncBT8GzQ7qGx3ccONqeeRq0Z_1-4aA0b9LTRj1MeFHHNXiF1UswUD_4NvOixa_D1o5GrGMXQ.YSGIirx-Doeua1wbDt86ofsTfLXYIpngnpRlOQ0jNs0%26dib_tag%3Dse%26keywords%3Dlaptops%2Bunder%2B50000%26pd_rd_i%3DB0C9DDN2JB%26pd_rd_r%3D8b7f672e-69f0-45d7-86de-89b047ce65ea%26pd_rd_w%3Da3BKT%26pd_rd_wg%3D9ufCM%26pf_rd_p%3Dee635213-fee1-408a-be4a-3523feeb9a42%26pf_rd_r%3DQ790SSQ0FHNVX1HZHTAK%26qid%3D1718191646%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptops%2Bunder%2B50000%252Caps%252C230%26sr%3D1-2-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/1Yr ADP Free/3months Game Pass/Arctic Grey/1.63Kg), 82RK00VTIN","35,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTg4MDk3NTk4OTAzMTYzOjE3MTgxOTE2NDY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA1MDQxNDQ3ODgzMjo6Mjo6&url=%2FLenovo-IdeaPad-39-62cm-Warranty-82RK006DIN%2Fdp%2FB0B4JPC8GT%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%253Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%26crid%3D3QDIM6E397P10%26cv_ct_cx%3Dlaptops%2Bunder%2B50000%26dib%3DeyJ2IjoiMSJ9.gqc4L1rAevfMXdncBT8GzQ7qGx3ccONqeeRq0Z_1-4aA0b9LTRj1MeFHHNXiF1UswUD_4NvOixa_D1o5GrGMXQ.YSGIirx-Doeua1wbDt86ofsTfLXYIpngnpRlOQ0jNs0%26dib_tag%3Dse%26keywords%3Dlaptops%2Bunder%2B50000%26pd_rd_i%3DB0B4JPC8GT%26pd_rd_r%3D8b7f672e-69f0-45d7-86de-89b047ce65ea%26pd_rd_w%3Da3BKT%26pd_rd_wg%3D9ufCM%26pf_rd_p%3Dee635213-fee1-408a-be4a-3523feeb9a42%26pf_rd_r%3DQ790SSQ0FHNVX1HZHTAK%26qid%3D1718191646%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptops%2Bunder%2B50000%252Caps%252C230%26sr%3D1-3-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"Lenovo IdeaPad Slim 3 Intel Core i7 12th Gen 15.6 inch (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/1Yr ADP Free/3months Game Pass/Arctic Grey/1.63Kg), 82RK011GIN","62,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTg4MDk3NTk4OTAzMTYzOjE3MTgxOTE2NDY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDEwNzU5ODYzODMzMjo6Mzo6&url=%2FLenovo-IdeaPad-39-62cm-Windows-82RK011EIN%2Fdp%2FB0CMGZCDRW%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%253Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%26crid%3D3QDIM6E397P10%26cv_ct_cx%3Dlaptops%2Bunder%2B50000%26dib%3DeyJ2IjoiMSJ9.gqc4L1rAevfMXdncBT8GzQ7qGx3ccONqeeRq0Z_1-4aA0b9LTRj1MeFHHNXiF1UswUD_4NvOixa_D1o5GrGMXQ.YSGIirx-Doeua1wbDt86ofsTfLXYIpngnpRlOQ0jNs0%26dib_tag%3Dse%26keywords%3Dlaptops%2Bunder%2B50000%26pd_rd_i%3DB0CMGZCDRW%26pd_rd_r%3D8b7f672e-69f0-45d7-86de-89b047ce65ea%26pd_rd_w%3Da3BKT%26pd_rd_wg%3D9ufCM%26pf_rd_p%3Dee635213-fee1-408a-be4a-3523feeb9a42%26pf_rd_r%3DQ790SSQ0FHNVX1HZHTAK%26qid%3D1718191646%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptops%2Bunder%2B50000%252Caps%252C230%26sr%3D1-4-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (8GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray","43,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTg4MDk3NTk4OTAzMTYzOjE3MTgxOTE2NDY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE2Njg1MTAzNzMzMjo6NDo6&url=%2FMagicBook-i5-12450H-Anti-Glare-Full-Size-Keyboard%2Fdp%2FB0CRQB2NWD%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%253Aamzn1.sym.ee635213-fee1-408a-be4a-3523feeb9a42%26crid%3D3QDIM6E397P10%26cv_ct_cx%3Dlaptops%2Bunder%2B50000%26dib%3DeyJ2IjoiMSJ9.gqc4L1rAevfMXdncBT8GzQ7qGx3ccONqeeRq0Z_1-4aA0b9LTRj1MeFHHNXiF1UswUD_4NvOixa_D1o5GrGMXQ.YSGIirx-Doeua1wbDt86ofsTfLXYIpngnpRlOQ0jNs0%26dib_tag%3Dse%26keywords%3Dlaptops%2Bunder%2B50000%26pd_rd_i%3DB0CRQB2NWD%26pd_rd_r%3D8b7f672e-69f0-45d7-86de-89b047ce65ea%26pd_rd_w%3Da3BKT%26pd_rd_wg%3D9ufCM%26pf_rd_p%3Dee635213-fee1-408a-be4a-3523feeb9a42%26pf_rd_r%3DQ790SSQ0FHNVX1HZHTAK%26qid%3D1718191646%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptops%2Bunder%2B50000%252Caps%252C230%26sr%3D1-5-ced4eeeb-b190-41d6-902a-1ecb3fb8b7c4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
"[Smart Choice] Lenovo IdeaPad Gaming 3 Laptop AMD Ryzen 5 5500H 15.6"" (39.62cm) FHD IPS 300nits 144Hz (8GB/512GB SSD/Win 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Shadow Black/2.32Kg), 82K20289IN","45,990",https://www.amazon.in/Lenovo-IdeaPad-39-62cm-300nits-82K20289IN/dp/B0CL5L59Z9/ref=sr_1_6?crid=3QDIM6E397P10&dib=eyJ2IjoiMSJ9.VE19NB4XGbKO38w-XItHphoQFK057PMSE9YNujNUKfMYe5BCZGqe5f2d3rqHNOyDHkcpeWVwFg_f_NlXk05eW6boR2811IGRgzQg0vRHABe4s2o3YAfGdZrfTf44ER3gcXYJsilxwhRA3DxDtrSVbeW1t2AZofSDv7bbKvCVjwEZg_WqWtnFkTp_UDtxD0Leh4bU5UBBZ5vduc72orC6JCpEHmhXN004_ADpw-UZNWA.gEE6TP47mqtsR8YQk_UK2t-RJ5WIoE_uLYwifL0H7aI&dib_tag=se&keywords=laptops+under+50000&qid=1718191646&sprefix=laptops+under+50000%2Caps%2C230&sr=8-6
"HP Laptop 15s, AMD Ryzen 7 5700U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, Backlit KB, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), ey2001AU","48,490",https://www.amazon.in/HP-15-6-inch-Graphics-Speakers-ey2001AU/dp/B0C9DDN2JB/ref=sr_1_7?crid=3QDIM6E397P10&dib=eyJ2IjoiMSJ9.VE19NB4XGbKO38w-XItHphoQFK057PMSE9YNujNUKfMYe5BCZGqe5f2d3rqHNOyDHkcpeWVwFg_f_NlXk05eW6boR2811IGRgzQg0vRHABe4s2o3YAfGdZrfTf44ER3gcXYJsilxwhRA3DxDtrSVbeW1t2AZofSDv7bbKvCVjwEZg_WqWtnFkTp_UDtxD0Leh4bU5UBBZ5vduc72orC6JCpEHmhXN004_ADpw-UZNWA.gEE6TP47mqtsR8YQk_UK2t-RJ5WIoE_uLYwifL0H7aI&dib_tag=se&keywords=laptops+under+50000&qid=1718191646&sprefix=laptops+under+50000%2Caps%2C230&sr=8-7
